book,chapter,words
Genesis,1,950
Genesis,2,701
Genesis,3,731
Genesis,4,736
Genesis,5,530
Genesis,6,621
Genesis,7,620
Genesis,8,641
Genesis,9,670
Genesis,10,536
Genesis,11,644
Genesis,12,545
Genesis,13,464
Genesis,14,631
Genesis,15,478
Genesis,16,449
Genesis,17,722
Genesis,18,882
Genesis,19,1128
Genesis,20,518
Genesis,21,794
Genesis,22,651
Genesis,23,554
Genesis,24,1861
Genesis,25,737
Genesis,26,944
Genesis,27,1298
Genesis,28,658
Genesis,29,891
Genesis,30,1093
Genesis,31,1483
Genesis,32,847
Genesis,33,583
Genesis,34,805
Genesis,35,703
Genesis,36,891
Genesis,37,1000
Genesis,38,880
Genesis,39,675
Genesis,40,625
Genesis,41,1507
Genesis,42,1007
Genesis,43,1015
Genesis,44,896
Genesis,45,787
Genesis,46,822
Genesis,47,1013
Genesis,48,657
Genesis,49,800
Genesis,50,709
Exodus,1,471
Exodus,2,687
Exodus,3,801
Exodus,4,928
Exodus,5,628
Exodus,6,768
Exodus,7,698
Exodus,8,985
Exodus,9,1013
Exodus,10,928
Exodus,11,338
Exodus,12,1549
Exodus,13,698
Exodus,14,959
Exodus,15,724
Exodus,16,1095
Exodus,17,513
Exodus,18,795
Exodus,19,708
Exodus,20,570
Exodus,21,928
Exodus,22,811
Exodus,23,888
Exodus,24,492
Exodus,25,979
Exodus,26,979
Exodus,27,574
Exodus,28,1269
Exodus,29,1386
Exodus,30,1023
Exodus,31,450
Exodus,32,1140
Exodus,33,710
Exodus,34,1023
Exodus,35,823
Exodus,36,925
Exodus,37,765
Exodus,38,846
Exodus,39,1041
Exodus,40,837
Leviticus,1,540
Leviticus,2,500
Leviticus,3,524
Leviticus,4,1183
Leviticus,5,739
Leviticus,6,927
Leviticus,7,1069
Leviticus,8,993
Leviticus,9,635
Leviticus,10,628
Leviticus,11,1133
Leviticus,12,280
Leviticus,13,1903
Leviticus,14,1775
Leviticus,15,933
Leviticus,16,1183
Leviticus,17,565
Leviticus,18,683
Leviticus,19,946
Leviticus,20,852
Leviticus,21,612
Leviticus,22,922
Leviticus,23,1243
Leviticus,24,585
Leviticus,25,1633
Leviticus,26,1278
Leviticus,27,978
Numbers,1,1337
Numbers,2,836
Numbers,3,1307
Numbers,4,1440
Numbers,5,919
Numbers,6,765
Numbers,7,1950
Numbers,8,736
Numbers,9,735
Numbers,10,909
Numbers,11,1133
Numbers,12,390
Numbers,13,770
Numbers,14,1209
Numbers,15,1088
Numbers,16,1365
Numbers,17,353
Numbers,18,1126
Numbers,19,698
Numbers,20,803
Numbers,21,974
Numbers,22,1262
Numbers,23,761
Numbers,24,713
Numbers,25,456
Numbers,26,1521
Numbers,27,613
Numbers,28,801
Numbers,29,957
Numbers,30,514
Numbers,31,1254
Numbers,32,1048
Numbers,33,960
Numbers,34,639
Numbers,35,1014
Numbers,36,478
Deuteronomy,1,1301
Deuteronomy,2,1072
Deuteronomy,3,833
Deuteronomy,4,1519
Deuteronomy,5,935
Deuteronomy,6,664
Deuteronomy,7,862
Deuteronomy,8,574
Deuteronomy,9,963
Deuteronomy,10,616
Deuteronomy,11,969
Deuteronomy,12,1095
Deuteronomy,13,645
Deuteronomy,14,718
Deuteronomy,15,734
Deuteronomy,16,748
Deuteronomy,17,716
Deuteronomy,18,626
Deuteronomy,19,650
Deuteronomy,20,707
Deuteronomy,21,765
Deuteronomy,22,912
Deuteronomy,23,711
Deuteronomy,24,726
Deuteronomy,25,589
Deuteronomy,26,667
Deuteronomy,27,605
Deuteronomy,28,2155
Deuteronomy,29,901
Deuteronomy,30,665
Deuteronomy,31,1054
Deuteronomy,32,1414
Deuteronomy,33,853
Deuteronomy,34,330
Joshua,1,599
Joshua,2,796
Joshua,3,574
Joshua,4,733
Joshua,5,583
Joshua,6,949
Joshua,7,969
Joshua,8,1239
Joshua,9,836
Joshua,10,1413
Joshua,11,754
Joshua,12,502
Joshua,13,856
